age,monthly_income,monthly_contribution,current_savings,inflation_rate,employment_type,job_stability,contribution_gap_months,readiness
35,223229.66021539448,16295.934868357872,50987.9171936012,8.032940894536845,2,0.4823177507957687,1,0.16515405942991845
32,99786.47027871586,8378.00890063824,18205.874055510103,10.350666959599897,0,0.5490503541943585,0,0.275073190630842
45,55313.92146578806,4966.411851476152,40997.9953904921,6.161205924269612,0,0.41783817948429974,3,0.06292442462102588
34,324349.5164330482,14474.138350323054,155578.157283334,6.918867000503737,1,0.7575148020736153,2,0.21451314594798263
36,106451.92698648786,13911.061641895267,60888.54461673487,11.108434487348845,0,0.32376511794817775,4,0.0
40,101242.39873185952,15877.641687954296,10850.81490447843,9.193337249137164,0,0.2562188511982172,9,0.07284673550373291
31,91181.84207635316,14468.661463442186,89034.83013583363,8.938715207929445,0,0.4402332787948544,7,0.10842689965218039
49,385301.5471511561,84669.1352727655,52412.328068484945,8.023601376325358,1,0.8415350553948533,5,0.2502322307867357
24,367735.2631717546,75101.04193479942,7281.183481392617,11.662668668210214,1,0.6342711415774187,1,0.3126246566474539
34,97694.62283076106,8411.857046457702,106750.72108461047,7.208783526321198,0,0.44688783319778325,10,0.13095467686905185
48,102397.18150269879,7568.950530309584,57123.938774622824,10.098685714338279,2,0.6441452031272629,1,0.20190547088104321
34,141552.83318,12581.699235232105,128758.86048439435,10.174769801644473,0,0.2767821755982903,4,0.14375776569095824
42,45069.687134080465,4088.891025730579,56487.53544090155,10.977394988570211,0,0.2521412520173062,4,0.2296498124348723
50,108141.49130189088,6908.471214841919,110324.69514897719,10.306056946760997,0,0.332869008824693,8,0.01426479703682948
25,150944.20041798064,12582.669429389714,19483.692938009717,11.723671274962657,1,0.7627719980897867,2,0.19324288464139333
29,100954.37364017614,8967.56310806827,55100.239429354624,10.3041765182182,0,0.4341187313337245,10,0.12889606577765536
40,175951.1418422018,13175.012610904243,31657.15015332238,7.745261125389495,1,0.6249669198624217,1,0.18802319750907387
33,58206.491069231146,1269.8645839012086,36744.246480541886,11.768487242541834,0,0.20381734122689066,4,0.03912880632457473
41,132976.01675491876,11434.926476068074,137258.38560494073,9.053754242532285,0,0.21084266093449325,3,0.0
37,125997.5805108631,10953.515223197934,66845.97307043373,8.00926974082191,2,0.42198652273592885,4,0.026224875600534096
25,221253.7511996629,43081.12884786134,20355.71256232826,6.346446476802216,1,0.7710544895264082,3,0.3328343079549535
52,387104.07196973194,18625.79585929918,7006.102390051285,11.068785487128876,0,0.540738370335555,10,0.042628309224988295
51,98098.31166283297,6430.476809689234,22987.114285029384,8.660634617016264,0,0.4872056712508006,11,0.02165322267040483
40,153607.95382694158,22265.365067662013,41269.15352978786,8.976256356099498,1,0.6416906975659874,1,0.20702480848067256
35,106733.72705690628,4820.5362646229505,25689.82304048158,10.292184691373338,1,0.8444381002570976,3,0.12413736763147602
30,50021.18150109527,10059.266613585945,116843.83746192508,6.3654332594110965,2,0.7818665427516276,0,0.33055074504552134
41,263146.3017353783,12298.102599327634,367003.63488520926,10.28675810331469,0,0.5448845693287752,2,0.08369926417075632
36,73332.15396569985,2511.8138185803027,156659.72335090124,6.206261150110351,0,0.38559416697615234,5,0.03421000223043227
32,104807.36823240666,7027.558997400361,79936.87482112298,9.72911234420429,0,0.37280422357214504,9,0.08207429300163992
53,105725.81071245448,9698.860079064956,12262.051115275995,11.275946780175364,0,0.4027998480573389,2,0.10560668285483636
